Departamento,Municipio,Altitud
Amazonas,El Encanto,147
Amazonas,La Chorrera,152
Amazonas,La Pedrera,119
Amazonas,La Victoria,141
Amazonas,Leticia,80
Amazonas,Mirití-Paraná,116
Amazonas,Puerto Alegría,156
Amazonas,Puerto Arica,96
Amazonas,Puerto Nariño,96
Amazonas,Puerto Santander,172
Amazonas,Tarapacá,54
Antioquia,Cáceres ,200
Antioquia,Caucasia ,150
Antioquia,El Bagre ,150
Antioquia,Nechí ,30
Antioquia,Tarazá ,255
Antioquia,Zaragoza ,150
Antioquia,Caracolí ,625
Antioquia,Maceo ,950
Antioquia,Puerto Berrío ,125
Antioquia,Puerto Nare ,125
Antioquia,Puerto Triunfo ,150
Antioquia,Yondó ,75
Antioquia,Amalfi ,1500
Antioquia,Anorí ,1550
Antioquia,Cisneros ,1050
Antioquia,Remedios ,700
Antioquia,San Roque ,1475
Antioquia,Santo Domingo ,1975
Antioquia,Segovia ,650
Antioquia,Vegachí ,980
Antioquia,Yalí ,1250
Antioquia,Yolombó ,1450
Antioquia,Angostura ,1675
Antioquia,Belmira ,2500
Antioquia,Briceño ,1200
Antioquia,Campamento ,1700
Antioquia,Carolina del Príncipe ,1700
Antioquia,Donmatías ,2200
Antioquia,Entrerríos ,2300
Antioquia,Gómez Plata ,1800
Antioquia,Guadalupe ,1875
Antioquia,Ituango ,1550
Antioquia,San Andrés de Cuerquia ,1475
Antioquia,San José de la Montaña ,2590
Antioquia,San Pedro de los Milagros ,2475
Antioquia,Santa Rosa de Osos ,2550
Antioquia,Toledo ,1850
Antioquia,Valdivia ,1165
Antioquia,Yarumal ,2300
Antioquia,Abriaquí ,1900
Antioquia,Antioquia ,500
Antioquia,Anzá ,625
Antioquia,Armenia ,1800
Antioquia,Buriticá ,1650
Antioquia,Caicedo ,1800
Antioquia,Cañasgordas ,1300
Antioquia,Dabeiba ,450
Antioquia,Ebéjico ,1150
Antioquia,Frontino ,1350
Antioquia,Giraldo ,1925
Antioquia,Heliconia ,1440
Antioquia,Liborina ,700
Antioquia,Olaya ,500
Antioquia,Peque ,1200
Antioquia,Sabanalarga ,850
Antioquia,San Jerónimo ,780
Antioquia,Sopetrán ,750
Antioquia,Uramita ,650
Antioquia,Abejorral ,2275
Antioquia,Alejandría ,1750
Antioquia,Argelia ,1700
Antioquia,El Carmen de Viboral ,2150
Antioquia,Cocorná ,1300
Antioquia,Concepción ,1875
Antioquia,El Peñol ,2000
Antioquia,El Retiro ,2175
Antioquia,El Santuario ,2150
Antioquia,Granada ,2050
Antioquia,Guarne ,2150
Antioquia,Guatapé ,1925
Antioquia,La Ceja ,2200
Antioquia,La Unión ,2500
Antioquia,Marinilla ,2120
Antioquia,Nariño ,1650
Antioquia,Rionegro ,2125
Antioquia,San Carlos ,1000
Antioquia,San Francisco ,1250
Antioquia,San Luis ,1050
Antioquia,San Rafael ,1000
Antioquia,San Vicente ,2150
Antioquia,Sonsón ,2500
Antioquia,Amagá ,1250
Antioquia,Andes ,1300
Antioquia,Angelópolis ,1950
Antioquia,Betania ,1450
Antioquia,Betulia ,1600
Antioquia,Caramanta ,2050
Antioquia,Ciudad Bolívar ,1400
Antioquia,Concordia ,2000
Antioquia,Fredonia ,1800
Antioquia,Hispania ,1000
Antioquia,Jardín ,1750
Antioquia,Jericó ,2000
Antioquia,La Pintada ,600
Antioquia,Montebello ,2350
Antioquia,Pueblorrico ,1800
Antioquia,Salgar ,1250
Antioquia,Santa Bárbara ,1800
Antioquia,Támesis ,1600
Antioquia,Tarso ,1235
Antioquia,Titiribí ,1550
Antioquia,Urrao ,1800
Antioquia,Valparaíso ,1375
Antioquia,Venecia ,1350
Antioquia,Apartadó ,30
Antioquia,Arboletes ,50
Antioquia,Carepa ,28
Antioquia,Chigorodó ,34
Antioquia,Murindó ,25
Antioquia,Mutatá ,75
Antioquia,Necoclí ,8
