Ubigeo,Provincia,Capital,Altitud,Superficie,Populacao,Humedad_relativa,Temp_max,Temp_min
101,Chachapoyas ,Chachapoyas ,2339,,,,,
102,Bagua ,Bagua ,421,,,,,
103,Bongará ,Jumbilla ,1991,,,,,
104,Condorcanqui ,Santa María de Nieva ,222,,,,,
105,Luya ,Lámud ,2307,,,,,
106,Rodríguez de Mendoza ,Mendoza ,1584,,,,,
107,Utcubamba ,Bagua Grande ,446,,,,,
201,Aija,Aija ,3147,,,,,
202,Antonio Raymondi,Llamellin ,3336,,,,,
203,Asunción,Chacas ,3359,,,,,
204,Bolognesi,Chiquián ,3374,,,,,
205,Carhuaz,Carhuaz ,2638,,,,,
206,Carlos F. Fitzcarrald,San Luis ,3131,,,,,
207,Casma,Casma ,4210,,,,,
208,Corongo,Corongo ,3141,,,,,
209,Huaraz,Huaraz ,3052,,,,,
210,Huari,Huari ,3149,,,,,
211,Huarmey,Huarmey ,14,,,,,
212,Huaylas,Caraz ,2256,,,,,
213,Mariscal Luzuriaga,Piscobamba ,3281,,,,,
214,Ocros,Ocros ,3250,,,,,
215,Pallasca,Cabana ,3240,,,,,
216,Pomabamba,Pomabamba ,2950,,,,,
217,Recuay,Recuay ,3422,,,,,
218,Santa,Chimbote ,5,,,,,
219,Sihuas,Sihuas ,2730,,,,,
220,Yungay,Yungay,2458,,,,,
301,Abancay ,Abancay ,2392,,,,,
302,Andahuaylas ,Andahuaylas ,2901,,,,,
303,Antabamba ,Antabamba ,3640,,,,,
304,Aymaraes ,Chalhuanca ,2911,,,,,
305,Cotabambas ,Tambobamba ,3292,,,,,
306,Chincheros ,Chincheros ,2795,,,,,
307,Grau ,Chuquibambilla ,3376,,,,,
401,Arequipa ,Arequipa ,2337,9682.02,1080635,"46,1","22,6","6,8"
402,Camaná ,Camaná ,15,3998.28,59370,,"23,3","16,8"
403,Caravelí ,Caravelí ,1776,13139.86,41346,,24,"9,3"
404,Castilla ,Aplao ,631,6914.48,33629,,"25,6","14,8"
