Ubigeo,Provincia,Capital,Altitud,Superficie,Poblacion,Temperatura,Humedad_relativa,indice_UV,senamhi_uv
10101,Chachapoyas ,Chachapoyas ,2339,,,18,91,5,12
10201,Bagua ,Bagua ,421,,,"24,9",75,5,10
10301,Bongará ,Jumbilla ,1991,,,23,86,,12
10104,Condorcanqui ,Santa María de Nieva ,222,,,"26,2",,,10
10502,Luya,Camporredondo,2307,,,16,75,,12
10501,Luya,Lámud ,2307,,,16,,,12
10601,Rodríguez de Mendoza ,Mendoza ,1584,,,"19,6",,,11
10701,Utcubamba ,Bagua Grande ,446,,,"25,3",75,,10
10702,Utcubamba ,Cajaruro,446,,,"25,3",74,,10
20201,Aija,Aija ,3147,,,"21,5",,,11
20301,Antonio Raymondi,Llamellin ,3336,,,"21,3",,,12
20401,Asunción,Chacas ,3359,,,"12,1",,,12
20501,Bolognesi,Chiquián ,3374,,,"9,8",,,11
20601,Carhuaz,Carhuaz ,2638,,,"16,2",80,,11
20701,Carlos F. Fitzcarrald,San Luis ,3131,,,"13,4",,,11
20801,Casma,Casma ,4210,,,24,83,6,9
20901,Corongo,Corongo ,3141,,,"11,7",,,12
20101,Huaraz,Huaraz ,3052,,,"13,2",74,3,11
21001,Huari,Huari ,3149,,,"13,6",,,11
21101,Huarmey,Huarmey ,14,,,"19,3",,,9
21201,Huaylas,Caraz ,2256,,,"15,4",,,11
21301,Mariscal Luzuriaga,Piscobamba ,3281,,,,,,12
21401,Ocros,Ocros ,3250,,,"9,6",,,11
21501,Pallasca,Cabana ,3240,,,"11,8",,,12
21601,Pomabamba,Pomabamba ,2950,,,"14,2",,,11
21701,Recuay,Recuay ,3422,,,"10,4",,,11
21801,Santa,Chimbote ,5,,,19,,,9
21901,Sihuas,Sihuas ,2730,,,"14,8",,,11
22001,Yungay,Yungay,2458,,,"15,7",,,11
30101,Abancay ,Abancay ,2392,,,"16,7",70,4,9
30201,Andahuaylas ,Andahuaylas ,2901,,,"13,8",,,10
30301,Antabamba ,Antabamba ,3640,,,"8,9",,,10
30401,Aymaraes ,Chalhuanca ,2911,,,"13,5",,,10
30501,Cotabambas ,Tambobamba ,3292,,,12,,,10
30601,Chincheros ,Chincheros ,2795,,,"11,7",,,10
30701,Grau ,Chuquibambilla ,3376,,,"11,9",,,10
40101,Arequipa ,Arequipa ,2337,"9682,02",1080635,15,"46,1",5,8
40201,Camaná ,Camaná ,15,"3998,28",59370,"20,1",,,7
40301,Caravelí ,Caravelí ,1776,"13139,86",41346,"16,7",,,8
40401,Castilla ,Aplao ,631,"6914,48",33629,"20,2",,,8
40501,Caylloma ,Chivay ,3632,"14019,46",86771,"9,3",,,9
40601,Condesuyos ,Chuquibamba ,2935,"6958,4",16118,12,,,9
40701,Islay ,Mollendo ,52,"3886,49",52630,"19,6",,,7
40801,La Unión ,Cotahuasi ,2675,"4746,4",12827,"13,7",,,9
50101,Huamanga,Ayacucho,2760,,,"15,4",75,4,10
50201,Cangallo,Cangallo,2570,,,"15,7",,,10
50301,Huanca Sancos,Huanca Sancos,3422,,,"10,4",,,10
50401,Huanta,Huanta,2642,,,"15,9",,,10
50501,La Mar,San Miguel,2647,,,"16,4",,,10
50601,Lucanas,Puquio,3221,,,"10,9",,,9
50701,Parinacochas,Coracora,3178,,,"6,6",,,9
50801,Páucar del Sara Sara,Pauza,2518,,,"14,2",,,10
50901,Sucre,Querobamba,3508,,,"9,7",,,10
51001,Víctor Fajardo,Huancapi,3102,,,"12,8",,,10
51101,Vilcashuamán,Vilcashuamán,3482,,,"10,8",,,10
60101,Cajamarca,Cajamarca,2719,,,13,,,12
60201,Cajabamba,Cajabamba,2651,,,"13,8",,,11
60301,Celendín,Celendín,2645,,,14,,,12
60401,Chota,Chota,2387,,,"15,1",,,12
60501,Contumazá,Contumazá,2647,,,13,,,11
60601,Cutervo,Cutervo,2628,,,14,,,12
60701,Hualgayoc,Bambamarca,2580,,,"14,3",,,12
60801,Jaén,Jaén,753,,,"24,2",,,11
60901,San Ignacio,San Ignacio de la Frontera,1303,,,"21,7",,,11
61001,San Marcos,San Marcos,2252,,,"15,6",,,11
61101,San Miguel,San Miguel de Pallaques,2659,,,"13,4",,,11
61201,San Pablo,San Pablo,2381,,,"14,7",,,11
61301,Santa Cruz,Santa Cruz de Succhabamba,2034,,,"16,6",,,11
70101,Callao,callao,7,,,"19,3",,,9
80101,Cuzco,Cuzco,3414,617,447588,13,"55,4",4,10
80201,Acomayo,Acomayo,3221,"948,22",22940,"11,9",,,10
80301,Anta,Anta,3345,1 876.12,13,"11,5",,,10
80401,Calca,Calca,2905,4 414.49,63155,"13,7",,,10
80501,Canas,Yanaoca,3910,2 103.76,32484,"7,6",,,10
80601,Canchis,Sicuani,3546,3 999.27,95774,"9,7",,,10
80701,Chumbivilcas,Santo Tomás,3678,5 371.08,66410,"9,1",,,10
80801,Espinar,Yauri,3924,5 311.09,57582,"7,3",,,10
80901,La Convención,Quillabamba,1063,30 061.82,147148,"23,7",,,9
81001,Paruro,Paruro,3068,1 984.42,25567,"12,6",,,10
81101,Paucartambo,Paucartambo,3005,6 295.01,42504,"13,6",,,10
81201,Quispicanchi,Urcos,3158,7 564.79,87430,"12,3",,,10
81301,Urubamba,Urubamba,2869,1 439.43,60739,"16,4",,,10
90101,Huancavelica,Huancavelica,3679,,,9,63,2,11
90201,Acobamba,Acobamba,3431,,,"11,2",,,10
90301,Angaraes,Lircay,3271,,,"11,9",,,10
90401,Castrovirreyna,Castrovirreyna,3958,,,"6,3",,,10
90501,Churcampa,Churcampa,3275,,,"12,1",,,10
90601,Huaytará,Huaytará,2712,,,"13,1",,,9
90701,Tayacaja,Pampas,3251,,,"12,2",,,10
100101,Huánuco,Huánuco,1898,,,"18,7",91,3,11
100201,Ambo,Ambo,2076,,,"21,3",,,11
