Ubigeo,Departamento provincia y distrito,2018,2019,2020
10000,AMAZONAS,419833,423863,426806
10100,CHACHAPOYAS,61078,62207,63188
10101,CHACHAPOYAS,36602,3787,39051
10102,ASUNCI�N,283,281,278
10103,BALSAS,1222,1202,118
10104,CHETO,687,696,702
10105,CHILIQUIN,619,604,589
10106,CHUQUIBAMBA,197,1955,1933
10107,GRANADA,523,532,539
10108,HUANCAS,1334,1395,1456
10109,LA JALCA,4187,408,3966
10110,LEIMEBAMBA,3862,3845,3815
10111,LEVANTO,830,817,803
10112,MAGDALENA,913,913,911
10113,MARISCAL CASTILLA,1474,1507,1534
10114,MOLINOPAMPA,232,2296,2266
10115,MONTEVIDEO,519,503,487
10116,OLLEROS,422,429,435
10117,QUINJALCA,819,807,792
10118,SAN FRANCISCO DE DAGUAS,321,323,323
10119,SAN ISIDRO DE MAINO,608,599,590
10120,SOLOCO,1293,1279,1261
10121,SONCHE,270,274,277
10200,BAGUA,82816,8385,84672
10201,BAGUA,29096,2954,29905
10202,ARAMANGO,10422,103,10149
10203,COPALL�N,4903,4787,466
10204,EL PARCO,1294,1292,1287
10205,IMAZA,30392,313,32136
10206,LA PECA,6709,6631,6535
10300,BONGAR�,27042,26972,2683
10301,JUMBILLA,1373,1354,1332
10302,CHISQUILLA,323,321,319
10303,CHURUJA,299,301,301
10304,COROSHA,810,819,825
10305,CUISPES,702,694,684
10306,FLORIDA,64,6409,6397
10307,JAZ�N,8035,7994,7931
10308,RECTA,220,219,218
10309,SAN CARLOS,519,535,551
10310,SHIPASBAMBA,163,1656,1678
10311,VALERA,898,868,837
10312,YAMBRASBAMBA,5833,5802,5757
10401,NIEVA,21231,21071,20847
10402,EL CENEPA,11863,12213,12537
10403,R�O SANTIAGO,17086,17543,1796
10500,LUYA,4811,48032,47827
10501,LAMUD,2379,2381,2375
10502,CAMPORREDONDO,7313,7422,7515
10503,COCABAMBA,2087,2068,2045
10504,COLCAMAR,2011,1975,1933
10505,CONILA,195,1939,1923
10506,INGUILPATA,517,502,486
10507,LONGUITA,898,892,883
10508,LONYA CHICO,891,876,858
10509,LUYA,4147,4139,4118
10510,LUYA VIEJO,408,407,405
10511,MAR�A,792,785,776
10512,OCALLI,3919,3939,395
10513,OCUMAL,3744,3734,3712
10514,PISUQUIA,516,5125,5075
10515,PROVIDENCIA,1406,1399,1389
10516,SAN CRIST�BAL,576,563,550
10517,SAN FRANCISCO DEL YESO,745,739,732
10518,SAN JER�NIMO,668,645,621
10519,SAN JUAN DE LOPECANCHA,453,445,434
10520,SANTA CATALINA,2078,2114,2145
10521,SANTO TOM�S,3176,3127,307
10522,TINGO,1355,1367,1375
10523,TRITA,1437,1449,1457
10600,RODR�GUEZ DE MENDOZA,32513,33122,33651
10601,SAN NICOL�S,6278,6399,6499
10602,CHIRIMOTO,2713,2799,2877
10603,COCHAMAL,628,633,636
10604,HUAMBO,2772,2722,2664
10605,LIMABAMBA,2491,2465,2431
10606,LONGAR,1704,1691,1673
10607,MARISCAL BENAVIDES,1568,1566,1559
10608,MILPUC,458,439,419
10609,OMIA,9603,983,10028
10610,SANTA ROSA,538,534,529
10611,TOTORA,293,290,288
10612,VISTA ALEGRE,3467,3754,4048
10700,UTCUBAMBA,118094,118853,119294
10701,BAGUA GRANDE,56257,57076,57746
10702,CAJARURO,24996,24794,24525
10703,CUMBA,8852,8819,876
10704,EL MILAGRO,6422,6471,6503
10705,JAMALCA,7303,7269,7215
10706,LONYA GRANDE,11034,11182,113
10707,YAM�N,323,3242,3245
20000,�NCASH,1.155.451,1.169.522,1.180.638
20100,HUARAZ,178027,181866,185276
20101,HUARAZ,66195,67418,68466
20102,COCHABAMBA,1745,1723,1698
20103,COLCABAMBA,314,293,274
20104,HUANCHAY,1726,1689,1652
20105,INDEPENDENCIA,82563,84931,87112
20106,JANGAS,5056,5138,5206
20107,LA LIBERTAD,1132,1122,111
20108,OLLEROS,2513,2514,2507
20109,PAMPAS,104,102,998
20110,PARIACOTO,5078,5163,5235
20111,PIRA,3536,3518,3489
20112,TARICA,7129,7337,7529
20200,AIJA,6632,6541,6433
20201,AIJA,2158,2175,2182
20202,CORIS,1713,1683,1649
20203,HUACLLAN,383,371,358
20204,LA MERCED,1627,1573,1517
20205,SUCCHA,751,739,727
20300,ANTONIO RAYMONDI,14349,14168,1395
20301,LLAMELLIN,3468,3446,3413
20302,ACZO,2013,1988,1958
20303,CHACCHO,1421,1385,1346
20304,CHINGAS,196,1956,1946
20305,MIRGAS,4279,4212,4135
20306,SAN JUAN DE RONTOY,1208,1181,1152
20400,ASUNCI�N,7879,7805,771
20401,CHACAS,4852,4825,4787
20402,ACOCHACA,3027,298,2923
20500,BOLOGNESI,24877,24474,24012
20501,CHIQUI�N,4092,4095,4087
20502,ABELARDO PARDO LEZAMETA,249,231,215
20503,ANTONIO RAYMONDI,1046,1034,102
20504,AQUIA,2188,2136,2079
20505,CAJACAY,1838,1856,1868
20506,CANIS,318,298,279
20507,COLQUIOC,2452,2404,2348
20508,HUALLANCA,6727,661,6473
20509,HUASTA,1474,1408,1341
20510,HUAYLLACAYAN,1352,1361,1365
20511,LA PRIMAVERA,473,458,444
20512,MANGAS,524,520,515
20513,PACLL�N,955,915,874
20514,SAN MIGUEL DE CORPANQUI,511,492,471
20515,TICLLOS,678,656,633
20600,CARHUAZ,48797,49466,50007
20601,CARHUAZ,16139,16428,16675
20602,ACOPAMPA,2734,2768,2794
20603,AMASHCA,1535,1529,152
20604,ANTA,2553,2579,2598
20605,ATAQUERO,1593,1607,1617
20606,MARCARA,10378,10593,10782
20607,PARIAHUANCA,1457,1458,1455
20608,SAN MIGUEL DE ACO,2502,2505,2502
20609,SHILLA,2962,2943,2915
20610,TINCO,3687,3778,3861
20611,YUNGAR,3257,3278,3288
20700,CARLOS F. FITZCARRALD,18848,18697,18496
20701,SAN LUIS,11202,11158,11083
20702,SAN NICOL�S,3322,3282,3233
20703,YAUYA,4324,4257,418
20800,CASMA,54382,55877,57256
20801,CASMA,38133,39286,40363
20802,BUENA VISTA ALTA,5128,5276,5413
20803,COMANDANTE NOEL,228,2313,234
20804,YAUTAN,8841,9002,914
20900,CORONGO,8034,8037,8017
20901,CORONGO,1789,1792,179
20902,ACO,401,391,380
20903,BAMBAS,483,483,481
20904,CUSCA,2856,2874,2881
20905,LA PAMPA,1088,1084,1078
20906,YANAC,676,672,666
20907,YUP�N,741,741,741
21000,HUARI,62909,63173,63264
21001,HUARI,9781,9806,9803
21002,ANRA,1467,1443,1414
21003,CAJAY,2711,269,2661
21004,CHAV�N DE HU�NTAR,8548,8517,8462
21005,HUACACHI,188,1862,1841
21006,HUACCHIS,1488,1446,1401
21007,HUACHIS,3611,3604,3589
21008,HU�NTAR,2782,2768,2746
21009,MASIN,1439,1401,136
21010,PAUCAS,1632,1601,1565
21011,PONTO,2829,2781,2725
21012,RAHUAPAMPA,749,751,751
21013,RAPAYAN,15,1483,1461
21014,SAN MARCOS,18446,18998,19498
21015,SAN PEDRO DE CHANA,2687,2695,2694
21016,UCO,1359,1327,1293
21100,HUARMEY,32049,32599,33066
21101,HUARMEY,26102,26644,27123
21102,COCHAPETI,822,820,814
21103,CULEBRAS,335,3382,3405
21104,HUAY�N,976,971,961
21105,MALVAS,799,782,763
21200,HUAYLAS,55883,56295,56557
21201,CARAZ,26307,26663,26949
21202,HUALLANCA,108,1096,111
21203,HUATA,1421,141,1394
21204,HUAYLAS,1722,1712,1697
21205,MATO,1982,1977,1967
21206,PAMPAROMAS,8552,8577,8577
